Crash ID,State,Month,Year,Dayweek,Time,Crash Type,Bus Involvement,Heavy Rigid Truck Involvement,Articulated Truck Involvement,Speed Limit,Road User,Gender,Age,Christmas Period,Easter Period,Age Group,Day of week,Time of day
20171335,NSW,7,2017,Friday,8:11,Multiple,No,No,No,50,Driver,Female,82,No,No,75_or_older,Weekday,Day
20051415,NSW,9,2005,Sunday,19:51,Single,No,No,No,60,Driver,Male,30,No,No,26_to_39,Weekend,Night
20175025,WA,4,2017,Saturday,18:20,Multiple,No,No,No,110,Other/-9,Female,0,No,No,0_to_16,Weekend,Night
19892175,Vic,9,1989,Tuesday,18:30,Single,No,No,No,60,Passenger,Male,18,No,No,17_to_25,Weekday,Night
20133109,Qld,7,2013,Thursday,19:00,Single,No,No,No,60,Pedestrian,Male,24,No,No,17_to_25,Weekday,Night
20055046,WA,8,2005,Monday,15:15,Single,No,No,No,50,Pedestrian,Male,2,No,No,0_to_16,Weekday,Day
20152228,Vic,1,2015,Thursday,0:10,Multiple,No,No,No,100,Motorcycle rider,Male,35,Yes,No,26_to_39,Weekday,Night
20167010,NT,2,2016,Thursday,1:02,Single,No,No,No,40,Driver,Male,48,No,No,40_to_64,Weekday,Night
19912115,Vic,3,1991,Saturday,22:12,Multiple,No,No,No,60,Passenger,Male,16,No,No,0_to_16,Weekend,Night
20163198,Qld,8,2016,Wednesday,20:00,Single,No,No,No,60,Pedestrian,Male,31,No,No,26_to_39,Weekday,Night
20103046,Qld,9,2010,Tuesday,12:00,Single,Yes,No,No,80,Passenger,Female,34,No,No,26_to_39,Weekday,Day
19892266,Vic,11,1989,Sunday,13:38,Multiple,No,No,No,100,Driver,Male,19,No,No,17_to_25,Weekend,Day
20101080,NSW,4,2010,Saturday,12:30,Multiple,No,No,No,100,Passenger,Male,35,No,No,26_to_39,Weekend,Day
20161268,NSW,8,2016,Sunday,11:00,Multiple,No,No,No,50,Passenger,Female,38,No,No,26_to_39,Weekend,Day
20132015,Vic,10,2013,Wednesday,11:30,Multiple,No,No,No,80,Motorcycle rider,Male,60,No,No,40_to_64,Weekday,Day
20161017,NSW,10,2016,Friday,17:00,Multiple,No,No,No,80,Motorcycle rider,Male,43,No,No,40_to_64,Weekday,Day
20083272,Qld,8,2008,Sunday,12:00,Multiple,No,No,No,80,Passenger,Female,19,No,No,17_to_25,Weekend,Day
20211181,NSW,1,2021,Tuesday,14:30,Multiple,No,No,No,50,Pedestrian,Male,6,No,No,0_to_16,Weekday,Day
20133186,Qld,7,2013,Sunday,20:00,Single,No,No,No,60,Passenger,Male,59,No,No,40_to_64,Weekend,Night
20125130,WA,11,2012,Monday,2:50,Single,No,No,No,50,Passenger,Female,25,No,No,17_to_25,Weekend,Night
20124059,SA,8,2012,Sunday,19:49,Single,No,No,No,50,Driver,Male,23,No,No,17_to_25,Weekend,Night
20061129,NSW,4,2006,Monday,13:47,Single,No,No,No,80,Pedal cyclist,Female,52,No,No,40_to_64,Weekday,Day
20044046,SA,3,2004,Thursday,7:15,Multiple,No,No,No,60,Driver,Male,59,No,No,40_to_64,Weekday,Day
20181243,NSW,12,2018,Saturday,15:00,Single,No,No,No,70,Motorcycle rider,Male,28,No,No,26_to_39,Weekend,Day
20021345,NSW,3,2002,Friday,17:30,Multiple,No,No,No,100,Motorcycle rider,Male,35,No,No,26_to_39,Weekday,Day
